Provinsi,PDRB 2014,PDRB 2015,PDRB 2016,PDRB 2017,PDRB 2018,PDRB 2019,PDRB 2020,PDRB 2021,PDRB 2022,PDRB 2023,PDRB 2024,TPT 2014,TPT 2015,TPT 2016,TPT 2017,TPT 2018,TPT 2019,TPT 2020,TPT 2021,TPT 2022,TPT 2023,TPT 2024,IPM 2014,IPM 2015,IPM 2016,IPM 2017,IPM 2018,IPM 2019,IPM 2020,IPM 2021,IPM 2022,IPM 2023,IPM 2024
Aceh,113490,112665.53,116374.3,121240.98,126824.37,132069.62,131580.97,135274.04,140971.72,146932.42,153780.44,9.02,9.93,7.57,6.57,6.34,6.17,6.59,6.3,6.17,6.03,5.75,68.81,69.45,70,70.6,71.19,71.9,73.29,73.48,74.11,74.7,74.03
Sumatera Utara,419573,440955.85,463775.46,487531.23,512762.63,539513.85,533746.36,547651.82,573528.77,602235.95,632534.73,6.23,6.71,5.84,5.6,5.55,5.39,6.91,6.33,6.16,5.89,5.6,68.87,69.51,70,70.57,71.18,71.74,73.62,73.84,74.51,75.13,74.02
Sumatera Barat,133341,140719.47,148134.24,155984.36,163996.19,172205.57,169426.61,174999.89,182628.34,191070.55,199407.38,6.5,6.89,5.09,5.58,5.66,5.38,6.88,6.52,6.28,5.94,5.75,69.36,69.98,70.73,71.24,71.73,72.39,74.29,74.56,75.16,75.64,74.49
Riau,447987,448991.96,458769.34,470983.51,482064.63,495607.05,489995.75,506471.91,529532.98,551828.49,571233.59,6.56,7.83,7.43,6.22,5.98,5.76,6.32,4.42,4.37,4.23,3.7,70.33,70.84,71.2,71.79,72.44,73,73.67,73.89,74.45,74.95,74.79
Jambi,119991,125037.4,130501.13,136501.71,142902,149111.09,148354.25,153850.63,161731.95,169277.62,176906.5,5.08,4.34,4,3.87,3.73,4.06,5.13,5.09,4.59,4.53,4.48,68.24,68.89,69.62,69.99,70.65,71.26,72.29,72.62,73.11,73.73,73.43
Sumatera Selatan,243298,254044.88,266857.4,281571.01,298484.07,315464.75,315129.22,326405.18,343503.62,360967.45,379119.63,4.96,6.07,4.31,4.39,4.27,4.53,5.51,4.98,4.63,4.11,3.86,66.75,67.46,68.24,68.86,69.39,70.02,71.62,71.83,72.48,73.18,72.3
Bengkulu,36207,38066.01,40076.54,42073.52,44164.11,46345.45,46338.43,47853.78,49916.06,52051.56,54454.65,3.47,4.91,3.3,3.74,3.35,3.26,4.07,3.65,3.59,3.42,3.11,68.06,68.59,69.33,69.95,70.64,71.21,72.93,73.16,73.68,74.3,73.39
Lampung,189797,199536.92,209793.73,220626.1,232165.99,244378.31,240319.59,246966.49,257534.19,269240.54,281557.2,4.79,5.14,4.62,4.33,4.04,4.03,4.67,4.69,4.52,4.23,4.19,66.42,66.95,67.65,68.25,69.02,69.57,71.04,71.25,71.79,72.48,71.81
Kepulauan Bangka Belitung,44159,45962.3,47848.37,49985.15,52208.04,53941.9,52705.94,55369.65,57804.21,60336.51,60802.64,5.14,6.29,2.6,3.78,3.61,3.58,5.25,5.03,4.77,4.56,4.63,68.27,69.05,69.55,69.99,70.67,71.3,72.74,72.96,73.5,74.09,73.33
Kepulauan Riau,146325,155131.35,162853.04,166081.68,173498.75,181877.67,174959.21,180952.44,190111.09,199912.83,209939.07,6.69,6.2,7.69,7.16,8.04,7.5,10.34,9.91,8.23,6.8,6.39,73.4,73.75,73.99,74.45,74.84,75.48,77.69,77.87,78.48,79.08,77.97
DKI Jakarta,1373389,1454563.85,1539916.88,1635359.15,1735208.29,1836240.55,1792291.09,1856000.7,1953488.99,2050472.97,2151041.33,8.47,7.23,6.12,7.14,6.65,6.54,10.95,8.5,7.18,6.53,6.21,78.39,78.99,79.6,80.06,80.47,80.76,81.92,82.25,82.77,83.55,83.08
Jawa Barat,1149216,1207232.34,1275619.24,1343662.14,1419624.14,1490959.69,1453380.72,1507746.39,1589984.93,1669421.49,1752071.2,8.45,8.72,8.89,8.22,8.23,8.04,10.46,9.82,8.31,7.44,6.75,68.8,69.5,70.05,70.69,71.3,72.03,72.61,72.96,73.63,74.24,74.43
Jawa Tengah,764959,806765.09,849099.35,893750.3,941091.14,991516.54,965227.27,997321.13,1050278.09,1102473.58,1157025.94,5.68,4.99,4.63,4.57,4.47,4.44,6.48,5.95,5.57,5.13,4.78,68.78,69.49,69.98,70.52,71.12,71.73,71.88,72.17,72.8,73.39,73.88
DI Yogyakarta,79536,83474.45,87685.81,92300.24,98024.01,104485.46,101698.52,107372.56,112901.32,118625.54,124590.45,3.33,4.07,2.72,3.02,3.37,3.18,4.57,4.56,4.06,3.69,3.48,76.81,77.59,78.38,78.89,79.53,79.99,79.95,80.22,80.65,81.09,81.55
Jawa Timur,1262684,1331376.1,1405563.51,1482299.58,1563441.82,1649895.64,1611392.55,1668754.36,1757874.9,1844808.68,1935810.15,4.19,4.47,4.21,4,3.91,3.82,5.84,5.74,5.49,4.88,4.19,68.14,68.95,69.74,70.27,70.77,71.5,73.04,73.48,74.05,74.65,74.09
Banten,349351,368377.2,387835.09,410137,433782.71,456620.03,441148.58,460952.79,484129.42,507425.74,531735.25,9.07,9.55,8.92,9.28,8.47,8.11,10.64,8.98,8.09,7.52,6.68,69.89,70.27,70.96,71.42,71.95,72.44,74.41,74.68,75.25,75.77,74.48
Bali,121788,129126.56,137296.45,144933.31,154072.66,162693.36,147498.94,143871.68,150830.77,159447.66,168186.03,1.9,1.99,1.89,1.48,1.4,1.57,5.63,5.37,4.8,2.69,1.79,72.48,73.27,73.65,74.3,74.77,75.38,76.52,76.69,77.4,78.01,77.76
Nusa Tenggara Barat,73373,89337.99,94524.29,94608.21,90349.13,93872.44,93288.87,95437.86,102073.66,103906.22,109414.97,5.75,5.69,3.94,3.32,3.58,3.28,4.22,3.01,2.89,2.8,2.73,64.31,65.19,65.81,66.58,67.3,68.14,70.46,70.86,71.65,72.37,70.93
Nusa Tenggara Timur,54108,56770.79,59678.01,62725.41,65929.19,69389.02,68809.61,70540.56,72711.28,75234.57,78044.57,3.26,3.83,3.25,3.27,2.85,3.14,4.28,3.77,3.54,3.14,3.02,62.26,62.67,63.13,63.73,64.39,65.23,66.93,67.02,67.63,68.4,67.39
Kalimantan Barat,107115,112346.76,118183.27,124289.17,130596.32,137243.09,134743.38,141212.04,148368.94,154980.81,162574.47,4.04,5.15,4.23,4.36,4.18,4.35,5.81,5.82,5.11,5.05,4.86,64.89,65.59,65.88,66.26,66.98,67.65,68.76,68.99,69.71,70.47,70.13
Kalimantan Tengah,73725,78890.97,83900.24,89544.9,94566.25,100349.29,98933.61,102481.47,109094.72,113611.53,118682.32,3.24,4.54,4.82,4.23,3.91,4.04,4.58,4.53,4.26,4.1,4.01,67.77,68.53,69.13,69.79,70.42,70.91,72.62,72.81,73.17,73.73,72.73
Kalimantan Selatan,106779,110863.12,115743.57,121858.52,128052.58,133283.85,130864.32,135424.59,142339.22,149226.1,156756.94,3.8,4.92,5.45,4.77,4.35,4.18,4.74,4.95,4.74,4.31,4.2,67.63,68.38,69.05,69.65,70.17,70.72,73.09,73.45,74,74.66,73.03
Kalimantan Timur,446029,440676.36,439003.83,452741.91,464694.43,486523.18,472393.33,484439.61,506158.91,537630.01,570824.01,7.38,7.5,7.95,6.91,6.41,5.94,6.87,6.83,5.71,5.31,5.14,73.82,74.17,74.59,75.12,75.83,76.61,75.94,76.6,77.36,78.2,78.83
Kalimantan Utara,47696,49315.75,51064.74,54537.31,57459.31,61417.79,60746.21,63168.43,66528.39,69816.76,73007.99,0,5.68,5.23,5.54,5.11,4.49,4.97,4.58,4.33,4.01,3.9,68.64,68.76,69.2,69.84,70.56,71.15,71,71.57,72.21,72.88,73.02
Sulawesi Utara,66361,70425.33,74764.66,79484.03,84249.72,89009.26,88126.37,91790.69,96768.15,102070.48,107575.01,7.54,9.03,6.18,7.18,6.61,6.01,7.37,7.06,6.61,6.1,5.85,69.96,70.39,71.05,71.66,72.2,72.99,73.67,74.03,74.52,75.04,75.03
Sulawesi Tengah,71678,82787.2,91014.56,97474.86,117555.83,127935.06,134152.69,149815.86,172624.82,193181.36,212281.54,3.68,4.1,3.29,3.81,3.37,3.11,3.77,3.75,3,2.95,2.94,66.43,66.76,67.47,68.11,68.88,69.5,70.31,70.54,71.01,71.66,71.56
Sulawesi Selatan,233988,250802.99,269401.31,288814.17,309156.19,330506.38,328154.57,343395.41,360912.82,377207.78,396141.74,5.08,5.95,4.8,5.61,4.94,4.62,6.31,5.72,4.51,4.33,4.19,68.49,69.15,69.76,70.34,70.9,71.66,73.08,73.38,73.96,74.6,74.05
Sulawesi Tenggara,68292,72993.33,77745.51,83001.69,88310.05,94053.52,93445.72,97275.32,102656.43,108152.98,113989.49,4.43,5.55,2.72,3.3,3.19,3.52,4.58,3.92,3.36,3.15,3.09,68.07,68.75,69.31,69.86,70.61,71.2,71.61,71.82,72.38,72.94,73.48
Gorontalo,20776,22068.8,23507.21,25090.13,26719.27,28429.97,28425.38,29107.91,30282.21,31643.79,32949.62,4.18,4.65,2.76,4.28,3.7,3.76,4.28,3.01,2.58,3.06,3.13,65.17,65.86,66.29,67.01,67.71,68.49,69.51,69.82,70.62,71.25,71.23
Sulawesi Barat,24196,25964.43,27524.77,29282.49,31114.14,32843.81,32074.02,32898.3,33643.02,35402.56,37088.07,2.08,3.35,3.33,3.21,3.01,2.98,3.32,3.13,2.34,2.27,2.68,62.24,62.96,63.6,64.3,65.1,65.73,68.4,68.64,69.19,69.8,68.2
Maluku,23568,24859.2,26284.23,27814.05,29457.13,31049.45,30765.89,31881.23,33575.07,35322.9,37209.36,10.51,9.93,7.05,9.29,6.95,6.69,7.57,6.93,6.88,6.31,6.11,66.74,67.05,67.6,68.19,68.87,69.45,71.34,71.55,72.04,72.75,71.57
Maluku Utara,19209,20380.3,21556.68,23210.86,25034.08,26597.55,28031.44,32738.67,40248.38,48494.74,55152.33,5.29,6.05,4.01,5.33,4.63,4.81,5.15,4.71,3.98,4.31,4.03,65.18,65.91,66.63,67.2,67.76,68.7,69.3,69.56,70.26,70.98,71.03
Papua Barat,50260,52346.49,54711.28,56907.96,60465.52,62074.52,61604.13,61289.4,62530.53,40965.89,49486.23,5.02,8.08,7.46,6.49,6.45,6.43,6.8,5.84,5.37,5.38,4.13,61.28,61.73,62.21,62.99,63.74,64.7,65.94,66.11,66.72,67.47,67.02
Papua,121391,130311.61,142224.93,148818.29,159711.85,134565.89,"137.787,29",158675.15,172907.29,24009.13,24873.72,3.44,3.99,3.35,3.62,3,3.51,4.28,3.33,2.83,2.67,6.48,56.75,57.25,58.05,59.09,60.06,60.84,61.22,61.4,62.16,63.01,73
"Jumlah 34 Provinsi
Total of 34 Provinces",8603636,8982517.1,9498832.97,9995224.93,10537736.54,11062070.6,10699753.54,11239387.94,11840175.19,12257387.19,12876248.56,174.81,203.32,169.65,173.47,163.31,160.22,205.14,186.73,168.85,156.87,151.83,8603636,8982517.1,2351.43,2371.56,2393.14,2415.37,2456.69,2466.06,2486.41,2508.19,2501.06
